ProjectID,AuthorizationCategory,AuthorizationType,ApplicationType,eFactsAuthID,PermitNumber,Submitted,Status
10000023,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000024,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000024,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000024,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000024,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000024,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000025,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000025,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000025,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000025,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000025,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000026,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000026,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000026,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000026,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000026,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000027,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000027,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000027,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000027,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000027,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000028,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000028,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000028,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000028,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000028,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000029,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000029,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000029,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000029,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
